tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37229-M-5773,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de recebimento da areia,5.8 - Sistema de Alimentação de Material do Leito,,1,ROSCA DE RECEBIMENTO DA AREIA 37229-M-5773,5.8 - Sistema de Alimentação de Material do Leito.txt,Manual completo
37229-M-5774,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Elevador de canecos,5.8 - Sistema de Alimentação de Material do Leito,,1,ELEVADOR DE CANECOS 37229-M-5774,5.8 - Sistema de Alimentação de Material do Leito.txt,Manual completo
37229-M-5771,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Silo de areia,5.8 - Sistema de Alimentação de Material do Leito,,1,SILO DE AREIA 37229-M-5771,5.8 - Sistema de Alimentação de Material do Leito.txt,Manual completo
37223-M-5215,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Silo de cinza,5.10 - Sistema de Manuseio de Cinza Volante,,4,SILO DE CINZA 37223-M-5215                                                                                EQUIPAMENTO DE DESCARGA A SECO,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5215-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Descarregador / Motor vibratório do silo de cinza 1,5.10 - Sistema de Manuseio de Cinza Volante,,4,"- Descarregadores vibratórios do silo 37223-M-5215-M01 e                                           Motor                            kW             4,5",5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5215-M02,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Descarregador / Motor vibratório do silo de cinza 2,5.10 - Sistema de Manuseio de Cinza Volante,,3,37223-M-5215-M02.                                                                                Material,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-V-5901,V,Válvulas Manuais / Bloqueio,Gaveta deslizante manual de descarga a seco,5.10 - Sistema de Manuseio de Cinza Volante,,1,Fabricante                                          Haco                                               Gaveta deslizante manual 37223-V-5901,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-HV-5850,HV,Válvulas Manuais Acionadas (ar/motor),Gaveta deslizante pneumática de descarga a seco,5.10 - Sistema de Manuseio de Cinza Volante,,2,Diâmetro                                     m                 6                                       Gaveta deslizante pneumática 37223-HV-5850,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5218,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa / motor da calha de descarga a seco,5.10 - Sistema de Manuseio de Cinza Volante,,4,Material                                         aço carbono                                           Válvula rotativa de descarga a seco 37223-M-5218,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5219,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Calha telescópica de descarga a seco,5.10 - Sistema de Manuseio de Cinza Volante,,2,- Porta de inspeção                                                                                Calha telescópica de descarga a seco 37223-M-5219,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-KS-5721,KS,Chaves de Ciclo/Sequência,Ciclo de transporte de cinza pneumático do Boiler Bank,5.10 - Sistema de Manuseio de Cinza Volante,,1,Ciclo de transporte de cinza pneumático do BOILER BANK 37223-KS-5721,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-LSH-5693,LSH,Chaves de Nível Alto,Chave de nível de envio do pneumático do Boiler Bank,5.10 - Sistema de Manuseio de Cinza Volante,,1,• a chave de nível 37223-LSH-5693 é ativado,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
