tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37221-HV-5152,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem automática,,Partida,0,"1. Antes de aquecer a tubulação de vapor vivo, garantir que as válvulas de drenagem estejam **abertas**: **37221-V-5565, 37221-V-5567, 37221-V-5569, 37221-V-5571, 37221-V-5573, 37221-V-5575, 37221-V-5483, 37221-V-5484**. As válvulas de drenagem automática **37221-HV-5157, 37221-HV-5158, 37221-HV-5159, 37221-HV-5152** também devem estar abertas.",03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-HV-5049,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de desvio de vapor principal,,Partida,0,"3. Quando a pressão da caldeira começar a subir, abrir lentamente a válvula de desvio de vapor principal **37221-HV-5049**, monitorando pressão e temperatura da tubulação principal.",03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-HV-5048,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de vapor principal,,Partida,0,5. Quando a diferença de temperatura em relação à válvula de vapor principal **37221-HV-5048** for **< 50 °C** e a diferença de pressão **< 5 bar**: abrir a válvula muito lentamente — **0% → 5% → 10%** aberto — monitorando a medição **37221-TI-5153** e verificando em campo.,03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-TI-5153,TI,Indicadores de Temperatura,Medição de aquecimento e pressurização do duto de vapor principal,,Partida,0,5. Quando a diferença de temperatura em relação à válvula de vapor principal **37221-HV-5048** for **< 50 °C** e a diferença de pressão **< 5 bar**: abrir a válvula muito lentamente — **0% → 5% → 10%** aberto — monitorando a medição **37221-TI-5153** e verificando em campo.,03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-HV-5154,HV,Válvulas Manuais Acionadas (ar/motor),Segunda válvula de vapor principal,,Partida,0,9. Quando a diferença de temperatura em relação à segunda válvula principal **37221-HV-5154** for **< 50 °C** e a diferença de pressão **< 5 bar**: abrir muito lentamente — **0% → 5% → 10%** — monitorando aquecimento/pressurização e verificando em campo.,03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-HV-5155,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de desvio da segunda válvula de vapor principal,,Partida,0,"10. Após equalização, abrir completamente a segunda válvula de vapor principal **37221-HV-5154** e fechar a válvula de desvio **37221-HV-5155**.",03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37220-PI-6125,PI,Indicadores de Pressão,Monitoramento da pressão do ar do instrumento,,Operação Normal,0,"* Pressão do ar de instrumento monitorada em SRS: **37220-PI-6125, 37220-PI-6126, 37220-PI-6127**.",04_Operacao_Normal/Caldeira_Operacao_Ar_Instrumento_Agua_Alimentacao.md,Vault
37220-PI-6126,PI,Indicadores de Pressão,Monitoramento da pressão do ar do instrumento,,Operação Normal,0,"* Pressão do ar de instrumento monitorada em SRS: **37220-PI-6125, 37220-PI-6126, 37220-PI-6127**.",04_Operacao_Normal/Caldeira_Operacao_Ar_Instrumento_Agua_Alimentacao.md,Vault
37220-PI-6127,PI,Indicadores de Pressão,Monitoramento da pressão do ar do instrumento,,Operação Normal,0,"* Pressão do ar de instrumento monitorada em SRS: **37220-PI-6125, 37220-PI-6126, 37220-PI-6127**.",04_Operacao_Normal/Caldeira_Operacao_Ar_Instrumento_Agua_Alimentacao.md,Vault
37220-PI-6129,PI,Indicadores de Pressão,Pressão de ar comprimido,,Operação Normal,0,* Pressão de ar comprimido: **37220-PI-6129**.,04_Operacao_Normal/Caldeira_Operacao_Ar_Instrumento_Agua_Alimentacao.md,Vault
37221-PIC-5018,PIC,Controladores Indicadores de Pressão,Controle de pressão da água de alimentação,5.2 - Sistema de Água e Vapor,Operação Normal,1,Pressão da água de alimentação 37221-PIC-5018,5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-HC-5125,HC,,Controle da posição da válvula de pulverização de água,,,0,,,Somente lista oficial (sem contexto)
37221-LV-5002,LV,Válvulas de Controle de Nível,Válvula do nível do pré-aquecedor de água de alimentação,,Operação Normal,0,| **37221-LIC-5002** | Nível do pré-aquecedor de água de alimentação | A (interno) | — | Válvula 37221-LV-5002 | — |,04_Operacao_Normal/Caldeira_Operacao_Ar_Instrumento_Agua_Alimentacao.md,Vault
37221-LIC-5002,LIC,Controladores Indicadores de Nível,Controlador do nível do pré-aquecedor de água de alimentação,,Operação Normal,0,| **37221-LIC-5002** | Nível do pré-aquecedor de água de alimentação | A (interno) | — | Válvula 37221-LV-5002 | — |,04_Operacao_Normal/Caldeira_Operacao_Ar_Instrumento_Agua_Alimentacao.md,Vault
37221-LIC-5071,LIC,Controladores Indicadores de Nível,Controle de nível do tubulão,,Operação Normal; Partida,0,"Quando o controle de fluxo de água de alimentação **37221-FIC-5015** estiver em operação, o controlador de nível do tubulão **37221-LIC-5071** também está normalmente em operação (o controle de 3 pontos do nível do tubulão também pode ser usado durante a partida).",03_Partida/Caldeira_Partida_Agua_Vapor_Caldeira.md,Vault
37221-TV-5092,TV,Válvulas de Controle de Temperatura,"Válvula do controlador de temperatura do vapor antes de SH 2, esquerda",,Operação Normal,0,"| **37221-TIC-5092** | Temp. do vapor antes de SH2, esquerda | R (externo) | Saída escalonada de 37221-TIC-5094 | Válvula 37221-TV-5092 | — |",04_Operacao_Normal/Caldeira_Operacao_Agua_Vapor_Loops_Controle.md,Vault
37221-TV-5093,TV,Válvulas de Controle de Temperatura,"Válvula do controlador de temperatura do vapor antes de SH 2, direita",,Operação Normal,0,"| **37221-TIC-5093** | Temp. do vapor antes de SH2, direita | R (externo) | Saída escalonada de 37221-TIC-5095 | Válvula 37221-TV-5093 | — |",04_Operacao_Normal/Caldeira_Operacao_Agua_Vapor_Loops_Controle.md,Vault
37221-TV-5096,TV,Válvulas de Controle de Temperatura,"Válvula do controlador de temperatura do vapor antes de SH 3, esquerda",,Operação Normal,0,"| **37221-TIC-5096** | Temp. do vapor antes de SH3, esquerda | R (externo) | Saída escalonada de 37221-TIC-5098 | Válvula 37221-TV-5096 | — |",04_Operacao_Normal/Caldeira_Operacao_Agua_Vapor_Loops_Controle.md,Vault
37221-TV-5097,TV,Válvulas de Controle de Temperatura,"Válvula do controlador de temperatura do vapor antes de SH 3, direita",,Operação Normal,0,"| **37221-TIC-5097** | Temp. do vapor antes de SH3, direita | R (externo) | Saída escalonada de 37221-TIC-5098 | Válvula 37221-TV-5097 | — |",04_Operacao_Normal/Caldeira_Operacao_Agua_Vapor_Loops_Controle.md,Vault
37221-FIC-5160,FIC,,"Controle de carga, combustível sólido",,Operação Normal,0,"| **37221-FIC-5160** | Controle de carga, combustível sólido | A (interno) | 18,3-67,2 kg/s | Corrige o controle de alimentação de combustível sólido | Modo A/R se a turbina estiver em controle de pressão frontal |",04_Operacao_Normal/Caldeira_Operacao_Agua_Vapor_Loops_Controle.md,Vault
37221-PIC-5136,PIC,Controladores Indicadores de Pressão,"Controle de pressão de vapor principal, combustível sólido",5.2 - Sistema de Água e Vapor; 5.7 - Sistema de Alimentação de Combustível,Operação Normal,2,"Controle da pressão do vapor principal, biomassa 37221-PIC-5136",5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-PIC-5147,PIC,Controladores Indicadores de Pressão,Controle de pressão máxima do vapor,5.2 - Sistema de Água e Vapor,Operação Normal,4,• Controle da máxima pressão de vapor 37221-PIC-5147,5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-HV-5145,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de controle de pressão máxima (motor),5.2 - Sistema de Água e Vapor,Operação Normal; Partida,1,Válvula de bloqueio da linha de partida 37221-HV-5145,5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-FIC-5339,FIC,,Controle de carga mínima da caldeira,5.2 - Sistema de Água e Vapor,Operação Normal,2,• Controle do fluxo mínimo da caldeira 37221-FIC-5339,5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
35228-HV-1499,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de purga contínua,,Operação Normal,0,"* Ajustar a abertura da válvula de purga contínua **35228-HV-1499**. Normalmente, o **fluxo contínuo de purga é 1% do fluxo de vapor da caldeira**; a vazão adequada depende da qualidade da água de alimentação, ajustada conforme análises de água e experiência operacional.",04_Operacao_Normal/Caldeira_Operacao_Agua_Vapor_Monitoramento_Seguranca.md,Vault
37227-PIC-5172,PIC,Controladores Indicadores de Pressão,Controle de pressão dos sopradores de fuligem,5.3 - Sistema de Sopradores de Fuligem,Operação Normal,3,    O controle de pressão do vapor da sopragem de fuligem 37227-PIC-5172 vai para o modo,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo + Vault
37227-PV-5172,PV,Válvulas de Controle de Pressão,Válvula dos sopradores de fuligem,5.3 - Sistema de Sopradores de Fuligem,Operação Normal,1,válvula de controle 37227-PV-5172.,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo + Vault
35228-TV-1494,TV,Válvulas de Controle de Temperatura,Válvula de temperatura de drenagem,5.4 - Sistema de Vapor LP de Condesando de Ventilação de Purga,Operação Normal,1,purgado com a válvula de controle 35228-TV-1494.,5.4 - Sistema de Vapor LP de Condesando de Ventilação de Purga.txt,Manual completo + Vault
37224-FV-5376,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire para queimador 1,5.5 - Sistema de Ar,Operação Normal,1,output (0...100 %) controla a abertura do damper 37224-FV-5376. O controlador tem o feedback das,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5373,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire para queimador 2,5.16 - Sistema de Óleo; 5.5 - Sistema de Ar,Operação Normal,3,Controle do damper de ar 37224-FV-5373/5374/5376/5377,5.16 - Sistema de Óleo.txt,Manual completo + Vault
37224-FV-5377,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire para queimador 3,5.16 - Sistema de Óleo; 5.5 - Sistema de Ar,Operação Normal,2,"FV-5376, 37224-FV-5377) é levado para a posição de ignição. Quando o queimador está operando, o",5.16 - Sistema de Óleo.txt,Manual completo + Vault
37224-FV-5374,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire para queimador 4,5.16 - Sistema de Óleo; 5.5 - Sistema de Ar,Operação Normal,2,"• Durante a partida do queimador, o damper de controle do ar (37224-FV-5373, 37224-FV-5374, 37224-",5.16 - Sistema de Óleo.txt,Manual completo + Vault
37224-FV-5372,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire / ar secundário inferior dianteiro,5.5 - Sistema de Ar,Operação Normal,1,5372. Seu output (0...100 %) controla a abertura do damper 37224-FV-5372. O controlador tem o,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5375,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire / ar secundário inferior traseiro,5.5 - Sistema de Ar,Operação Normal,1,5375. Seu output (0...100 %) controla a abertura do damper 37224-FV-5375. O controlador tem o,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5379,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire / ar secundário superior dianteiro,5.5 - Sistema de Ar,Operação Normal,1,5379. Seu output (0...100 %) controla a abertura do damper 37224-FV-5379. O controlador tem o,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5378,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire / ar secundário superior traseiro,5.5 - Sistema de Ar,Operação Normal,1,5378. Seu output (0...100 %) controla a abertura do damper 37224-FV-5378. O controlador tem o,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5381,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire / ar terciário dianteiro,5.5 - Sistema de Ar,Operação Normal,1,output (0...100 %) controla a abertura do damper 37224-FV-5381. O controlador tem o feedback da,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5380,FV,Válvulas de Controle de Vazão,Damper do fluxo de ar overfire / ar terciário traseiro,5.5 - Sistema de Ar,Operação Normal,1,output (0...100 %) controla a abertura do damper 37224-FV-5380. O controlador tem o feedback da,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FV-5329,FV,Válvulas de Controle de Vazão,Damper de controle do fluxo de gás de recirculação,5.5 - Sistema de Ar,Operação Normal,2,(0...100 %) controla a posição do damper 37224-FV-5329. O controlador tem o feedback das,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-PDIC-5330,PDIC,Controladores Indicadores de Pressão Diferencial,Controle dP sobre damper de gás de recirculação,5.5 - Sistema de Ar,,2,Controle da diferença de pressão no damper do gás de recirculação 37224-PDIC-5330,5.5 - Sistema de Ar.txt,Manual completo
37224-PIC-5420,PIC,Controladores Indicadores de Pressão,Controle de pressão do gás de combustão antes do ventilador,5.6 - Sistema de Gases de Combustão; 5.7 - Sistema de Alimentação de Combustível,Operação Normal,3,Controle de pressão do gás de combustão antes do ventilador 37224-PIC-5420,5.6 - Sistema de Gases de Combustão.txt,Manual completo + Vault
37224-TIC-5415,TIC,Controladores Indicadores de Temperatura,Controle da temperatura da saída de gás de combustão,5.5 - Sistema de Ar; 5.6 - Sistema de Gases de Combustão,Operação Normal,3,temperatura da saída do gás de combustão 37224-TIC-5415 ou do output do controle da,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-XC-5432,XC,Comandos Discretos Calculados,Teor de oxigênio do gás de combustão para combustível sólido,5.6 - Sistema de Gases de Combustão; 5.7 - Sistema de Alimentação de Combustível,Operação Normal,4,Controlador de O 2 de gás de combustão para biomassa 37224-XC-5432,5.6 - Sistema de Gases de Combustão.txt,Manual completo + Vault
37228-LIC-5457,LIC,Controladores Indicadores de Nível,Controle da capacidade do silo de combustível,,,0,,,Somente lista oficial (sem contexto)
37228-LIC-5471,LIC,Controladores Indicadores de Nível,Controle de nível da caixa de balanceamento 1,5.7 - Sistema de Alimentação de Combustível,Desligamento; Operação Normal,3,Controle do nível do Mini Silo 1 37228-LIC-5471 / Controle do nível do Mini Silo 3 37228-,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo + Vault
37228-LIC-5529,LIC,Controladores Indicadores de Nível,Controle de nível da caixa de balanceamento 2,5.7 - Sistema de Alimentação de Combustível,Desligamento; Operação Normal,2,Controle do nível do Mini Silo 2 37228-LIC-5529,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo + Vault
37228-M-5659,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)","Transportador de arraste, combustível fragmentado 1",5.7 - Sistema de Alimentação de Combustível,,4,37228-M-5659 e 37228-M-5660,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5660,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)","Transportador de arraste, combustível fragmentado 2",5.7 - Sistema de Alimentação de Combustível,,2,37228-M-5659 e 37228-M-5660,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-SIC-5472,SIC,Controladores Indicadores de Velocidade,Taxa de velocidade da rosca principal do silo 1,,Operação Normal,0,"| Taxa de velocidade da rosca principal do silo 1 | Correlação (**0,7…1,5**) para rosca recuperadora de silo 1 — tag **37228-SIC-5472** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5470,SIC,Controladores Indicadores de Velocidade,Taxa de velocidade do transportador de combustível 1,,Operação Normal,0,"| Taxa de velocidade do transportador de combustível 1 | Correlação (**1,0…1,3**) — tag **37228-SIC-5470** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5523,SIC,Controladores Indicadores de Velocidade,Taxa de velocidade da rosca principal do silo 2,,Operação Normal,0,"| Taxa de velocidade da rosca principal do silo 2 | Correlação (**0,7…1,5**) para rosca recuperadora de silo 2 — tag **37228-SIC-5523** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5528,SIC,Controladores Indicadores de Velocidade,Taxa de velocidade do transportador de combustível 2,,Operação Normal,0,"| Taxa de velocidade do transportador de combustível 2 | Correlação (**1,0…1,3**) — tag **37228-SIC-5528** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5480,SIC,Controladores Indicadores de Velocidade,Correlação de velocidade da rosca de alimentação 1,5.7 - Sistema de Alimentação de Combustível,Operação Normal,1,"SIC-5476, 37228-SIC-5480, 37228-SIC-5482, 37228-SIC-5533, 37228-SIC-5538 e 37228-SIC-",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo + Vault
37228-SIC-5482,SIC,Controladores Indicadores de Velocidade,Correlação de velocidade da rosca de alimentação 2,5.7 - Sistema de Alimentação de Combustível,Operação Normal,1,"SIC-5476, 37228-SIC-5480, 37228-SIC-5482, 37228-SIC-5533, 37228-SIC-5538 e 37228-SIC-",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo + Vault
37228-SIC-5476,SIC,Controladores Indicadores de Velocidade,Correlação de velocidade da rosca de alimentação 3,,Operação Normal,0,"| Correlação de velocidade da rosca de alimentação 3 | **0,8…1,2** — tag **37228-SIC-5476** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5438,SIC,Controladores Indicadores de Velocidade,Correlação de velocidade da rosca de alimentação 4,,Operação Normal,0,"| Correlação de velocidade da rosca de alimentação 4 | **0,8…1,2** — tag **37228-SIC-5438** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5540,SIC,Controladores Indicadores de Velocidade,Correlação de velocidade da rosca de alimentação 5,,Operação Normal,0,"| Correlação de velocidade da rosca de alimentação 5 | **0,8…1,2** — tag **37228-SIC-5540** |",04_Operacao_Normal/Caldeira_Operacao_Combustivel_Solido_Loops_Configuracoes.md,Vault
37228-SIC-5533,SIC,Controladores Indicadores de Velocidade,Correlação de velocidade da rosca de alimentação 6,5.7 - Sistema de Alimentação de Combustível,Operação Normal,1,"SIC-5476, 37228-SIC-5480, 37228-SIC-5482, 37228-SIC-5533, 37228-SIC-5538 e 37228-SIC-",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo + Vault
37228-XS-5552,XS,Chaves/Status Discretos (sequências),Sequência de desligamento de alimentação de combustível 1,,Desligamento,0,## Desligamento: Sistema de Combustível Sólido — Sequências de Parada (37228-XS-5552 / 37228-XS-5556),05_Desligamento/Caldeira_Desligamento_Combustivel_Solido_Sequencias.md,Vault
37228-XS-5556,XS,Chaves/Status Discretos (sequências),Sequência de desligamento de alimentação de combustível 2,,Desligamento,0,## Desligamento: Sistema de Combustível Sólido — Sequências de Parada (37228-XS-5552 / 37228-XS-5556),05_Desligamento/Caldeira_Desligamento_Combustivel_Solido_Sequencias.md,Vault
37228-M-5669,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa 1,5.7 - Sistema de Alimentação de Combustível,,1,"VÁLVULAS ROTATIVAS 37228-M-5669, 37228-M-5670, 37228-M-5671,",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5671,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa 2,5.7 - Sistema de Alimentação de Combustível,,1,"VÁLVULAS ROTATIVAS 37228-M-5669, 37228-M-5670, 37228-M-5671,",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5673,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa 3,,,0,,,Somente lista oficial (sem contexto)
37228-M-5670,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa 4,5.7 - Sistema de Alimentação de Combustível,,1,"VÁLVULAS ROTATIVAS 37228-M-5669, 37228-M-5670, 37228-M-5671,",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5672,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa 5,5.7 - Sistema de Alimentação de Combustível,,1,"37228-M-5672, 37228- M-5673, 37228-M-5674",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5674,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Válvula rotativa 6,5.7 - Sistema de Alimentação de Combustível,,1,"37228-M-5672, 37228- M-5673, 37228-M-5674",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37229-M-5772,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação do material do leito,5.8 - Sistema de Alimentação de Material do Leito,,3,Rosca de alimentação DE AREIA 37229-M-5772,5.8 - Sistema de Alimentação de Material do Leito.txt,Manual completo
37228-M-5657-M1,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca principal do silo 1,,,0,,,Somente lista oficial (sem contexto)
37228-M-5657-M2/M3,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Acionamentos da máquina giratórios do silo 1,,,0,,,Somente lista oficial (sem contexto)
37228-M-5658-M1,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca principal do silo 2,,,0,,,Somente lista oficial (sem contexto)
37228-M-5658-M2/M3,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Acionamentos da máquina giratórios do silo 2,,,0,,,Somente lista oficial (sem contexto)
37228-M-5665,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação de combustível 1,5.7 - Sistema de Alimentação de Combustível,,1,"TRANSPORTADORES DA CAIXA DE DIVISÃO 37228-M-5665, 37228-M-5666, 37228-",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5667,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação de combustível 2,,,0,,,Somente lista oficial (sem contexto)
37228-M-5661,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação de combustível 3,5.7 - Sistema de Alimentação de Combustível,,1,TRANSPORTADORES TIPO ROBBING 37228-M-5661 e 37228-M-5662,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5666,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação de combustível 4,5.7 - Sistema de Alimentação de Combustível,,1,"TRANSPORTADORES DA CAIXA DE DIVISÃO 37228-M-5665, 37228-M-5666, 37228-",5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37228-M-5668,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação de combustível 5,,,0,,,Somente lista oficial (sem contexto)
37228-M-5662,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de alimentação de combustível 6,5.7 - Sistema de Alimentação de Combustível,,1,TRANSPORTADORES TIPO ROBBING 37228-M-5661 e 37228-M-5662,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo
37223-M-5194,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador de arraste de cinza do fundo,5.9 - Sistema de Manuseio de Cinza de Fundo,,4,"TRANSPORTADOR DE CORRENTE, CINZAS 37223-M-5194",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37222-FV-5885,FV,Válvulas de Controle de Vazão,Válvula de fluxo de óleo combustível pesado,5.16 - Sistema de Óleo,Operação Normal,3,Controle do fluxo de óleo 37222-FV-5885,5.16 - Sistema de Óleo.txt,Manual completo + Vault
37222-PV-5884,PV,Válvulas de Controle de Pressão,Válvula de pressão BPF,5.16 - Sistema de Óleo,Operação Normal,3,• A válvula de controle do óleo 37222-PV-5884 é ajustada para a posição de ignição.,5.16 - Sistema de Óleo.txt,Manual completo + Vault
37222-PIC-5877,PIC,Controladores Indicadores de Pressão,Vapor MP para atomização de BPF,,Operação Normal,0,| **37222-PIC-5877** | Vapor MP para atomização de BPF | A (interno) | Válvula 37222-PV-5877 |,04_Operacao_Normal/Caldeira_Operacao_Combustivel_Auxiliar_Controle_Queimador.md,Vault
37222-PV-5877,PV,Válvulas de Controle de Pressão,Válvula de vapor MP,5.4 - Sistema de Vapor LP de Condesando de Ventilação de Purga,Operação Normal,1,válvula de controle 37222-PV-5877.,5.4 - Sistema de Vapor LP de Condesando de Ventilação de Purga.txt,Manual completo + Vault
37224-LI-5335,LI,Indicadores de Nível (calculados),Cálculo da altura do leito,,Operação Normal,0,* **Altura do leito (37224-LI-5335):** calculada no DCS pela diferença de pressão entre o leito e a fornalha. **Recomendada em condições estáticas: 40-60 cm** acima do bocal de ar de fluidização. Baixa → adicionar material do leito; muito alta → remover via sequência de cinza do fundo.,04_Operacao_Normal/Caldeira_Operacao_Leito_Fluidizado_Uma_Linha_Monitoramento_Troubleshooting.md,Vault
37225-P-5050,P,Bombas,Bomba de condensado,,,0,,,Somente lista oficial (sem contexto)
37227-M-5531 a 37227-M-5554,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Soprador de fuligem totalmente retrátil,,,0,,,Somente lista oficial (sem contexto)
37227-M-5555 a 37227-M-5572,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Soprador de fuligem parcialmente retrátil,,,0,,,Somente lista oficial (sem contexto)
37227-V-6709,V,Válvulas Manuais / Bloqueio,Válvula de segurança (Sopragem de fuligem),5.3 - Sistema de Sopradores de Fuligem,,1,VÁLVULA DE SEGURANÇA 37227-V-6709,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-HV-5174,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem da linha 1 do vapor da sopragem de fuligem,5.3 - Sistema de Sopradores de Fuligem,,4,Válvula de drenagem da linha 1 do vapor da sopragem de fuligem 37227-HV-5174,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-HV-5176,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem da linha 2 do vapor da sopragem de fuligem,5.3 - Sistema de Sopradores de Fuligem,,4,Válvula de drenagem da linha 2 do vapor da sopragem de fuligem 37227-HV-5176,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-HV-5178,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem da linha 3 do vapor da sopragem de fuligem,5.3 - Sistema de Sopradores de Fuligem,,4,Válvula de drenagem da linha 3 do vapor da sopragem de fuligem 37227-HV-5178,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-HV-5170,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de bloqueio do vapor da sopragem de fuligem,5.3 - Sistema de Sopradores de Fuligem,,2,    Válvula de bloqueio do vapor da sopragem de fuligem 37227-HV-5170 vai para o modo AUTO e,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-TI-5173,TI,Indicadores de Temperatura,Medição de temperatura do vapor de sopragem de fuligem,5.3 - Sistema de Sopradores de Fuligem,,1,o Temperatura do vapor 37227-TI-5173 > LL,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-TI-5175,TI,Indicadores de Temperatura,Medição de temperatura da linha de drenagem 1,5.3 - Sistema de Sopradores de Fuligem,,1,quando a temperatura 37227-TI-5175 estiver,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
37227-TI-5177,TI,Indicadores de Temperatura,Medição de temperatura da linha de drenagem 2,5.3 - Sistema de Sopradores de Fuligem,,1,quando a temperatura 37227-TI-5177 estiver,5.3 - Sistema de Sopradores de Fuligem.txt,Manual completo
